id,material,name,city,city_id,country,country_id,latitude,longitude,floors_above_ground,height,number_of_purposes,rank,is_completed,is_started
1879,concrete,The Grant,Chicago,1539,US,163,41.86708832,-87.62201691,54,181.3000031,1,359,TRUE,TRUE
2278,composite,One Metropolitan Square,St. Louis,1693,US,163,38.62741089,-90.18955231,42,180.75,1,360,TRUE,TRUE
2279,steel,Celanese Building,New York City,1641,US,163,40.75857925,-73.98226166,45,180.4400024,1,361,TRUE,TRUE
2358,concrete,1000 Lake Shore Plaza,Chicago,1539,US,163,41.90103912,-87.62451172,55,179.8300018,1,362,TRUE,TRUE
3266,concrete,388 Bridge Street,New York City,1641,US,163,40.69165039,-73.98558807,51,179.8300018,1,363,TRUE,TRUE
2363,steel,One Financial Center,Boston,1524,US,163,42.35224152,-71.05623627,46,179.8300018,1,364,TRUE,TRUE
2370,steel,Thurgood Marshall U.S. Court House,New York City,1641,US,163,40.71368027,-74.00251007,37,179.8300018,1,365,TRUE,TRUE
2374,concrete,The Clare at Water Tower,Chicago,1539,US,163,41.8972702,-87.62618256,53,179.4799957,1,366,TRUE,TRUE
2381,concrete,Sky House,New York City,1641,US,163,40.74507904,-73.98558807,54,179.3300018,1,367,TRUE,TRUE
2379,concrete,The Millenium Hilton,New York City,1641,US,163,40.71118927,-74.01039886,58,179.2299957,1,368,TRUE,TRUE
2386,steel,One Wells Fargo Center,Charlotte,1544,US,163,35.22404861,-80.8446579,42,179.2299957,1,369,TRUE,TRUE
2395,steel,Time-Life Building,New York City,1641,US,163,40.76052856,-73.98097992,48,178.9199982,1,370,TRUE,TRUE
2401,steel,Jacob K. Javits Federal Building,New York City,1641,US,163,40.7154007,-74.00434875,41,178.9199982,1,371,TRUE,TRUE
16553,concrete,Optima Chicago Center II,Chicago,1539,US,163,41.89123917,-87.62152863,57,178.8999939,2,372,TRUE,TRUE
2404,concrete,Icon Brickell North Tower,Miami,1632,US,163,25.76893997,-80.18888855,58,178.6199951,1,373,TRUE,TRUE
2405,concrete,Icon Brickell South Tower,Miami,1632,US,163,25.7682991,-80.188797,58,178.6199951,1,373,TRUE,TRUE
2412,concrete,Ten Museum Park,Miami,1632,US,163,25.78463936,-80.18998718,50,178.3099976,1,375,TRUE,TRUE
2432,concrete,Solis Resort Spa Residences,Sunny Isles Beach,1686,US,163,0,0,53,178,2,376,TRUE,TRUE
2415,concrete,W Times Square,New York City,1641,US,163,40.75934982,-73.98561096,53,177.8500061,1,377,TRUE,TRUE
14135,concrete,Mid Continental Plaza,Chicago,1539,US,163,41.88008881,-87.6256485,49,177.6199951,2,378,TRUE,TRUE
2435,steel,Trump International Hotel & Tower,New York City,1641,US,163,40.76911163,-73.98159027,44,177.6199951,2,379,TRUE,TRUE
2439,steel,Gulf Tower,Pittsburgh,1661,US,163,40.44261932,-79.99514771,44,177.3999939,1,380,TRUE,TRUE
2441,concrete,Crain Communications Building,Chicago,1539,US,163,41.88478851,-87.62489319,41,177.3999939,1,381,TRUE,TRUE
2440,steel/concrete,Campbell Mithun Tower,Minneapolis,1627,US,163,44.97364044,-93.27002716,42,177.2400055,1,382,TRUE,TRUE
2654,concrete,360 Condominiums,Austin,1510,US,163,30.26729965,-97.74964905,45,177.1000061,1,383,TRUE,TRUE
2442,concrete,North Pier Apartments,Chicago,1539,US,163,41.89080811,-87.61450195,61,177.0899963,1,384,TRUE,TRUE
2469,steel,Citadel Center,Chicago,1539,US,163,41.87971878,-87.62889099,39,176.8399963,1,385,TRUE,TRUE
2468,steel,Stevens Tower,New York City,1641,US,163,40.75783157,-73.98238373,42,176.7899933,1,386,TRUE,TRUE
2467,concrete,The Mansion on Peachtree,Atlanta,1509,US,163,33.84944916,-84.36656952,42,176.7899933,1,386,TRUE,TRUE
2470,steel,One AT&T Plaza,Dallas,1554,US,163,32.77957916,-96.79872894,37,176.7899933,1,388,TRUE,TRUE
2471,steel,Municipal Building,New York City,1641,US,163,40.7129097,-74.00366211,34,176.7899933,1,389,TRUE,TRUE
2472,concrete,Ross Tower,Dallas,1554,US,163,32.7844696,-96.80023956,45,176.4799957,1,390,TRUE,TRUE
2474,steel,Regions Building,Tampa,1702,US,163,27.94551086,-82.45822144,42,176.4799957,1,391,TRUE,TRUE
2475,steel,Two Houston Center,Houston,1593,US,163,29.75639915,-95.36331177,40,176.4799957,1,392,TRUE,TRUE
2478,steel,One California Plaza,Los Angeles,1611,US,163,34.05226898,-118.2513428,42,176.1799927,1,393,TRUE,TRUE
14318,concrete,111 Washington Street,New York City,1641,US,163,40.70875931,-74.01399231,52,176.1699982,1,394,TRUE,TRUE
2485,concrete,The Atlantic,Atlanta,1509,US,163,33.79085922,-84.39758301,46,175.8699951,1,395,TRUE,TRUE
2488,concrete/steel,520 Madison Avenue,New York City,1641,US,163,40.76028061,-73.97438812,43,175.8699951,1,396,TRUE,TRUE
2495,steel,One World Financial Center,New York City,1641,US,163,40.71047974,-74.01567841,37,175.8699951,1,397,TRUE,TRUE
2500,steel,Merchandise Mart,New York City,1641,US,163,40.74235153,-73.98631287,42,175.5700073,1,398,TRUE,TRUE
1551,concrete,The Vue,Charlotte,1544,US,163,35.23102951,-80.84475708,50,175.5,1,399,TRUE,TRUE
2541,steel,5 Times Square,New York City,1641,US,163,40.75590897,-73.98760223,40,175.2599945,1,400,TRUE,TRUE
3174,steel,300 Madison Avenue,New York City,1641,US,163,40.75267029,-73.98007965,38,175.2599945,1,401,TRUE,TRUE
2510,steel,Lehman Building,New York City,1641,US,163,40.7605896,-73.98288727,38,175.2599945,1,401,TRUE,TRUE
15896,concrete,Journal Squared 3,Jersey City,1605,US,163,40.73236084,-74.06015015,53,175,1,403,TRUE,TRUE
2524,concrete,Jade on the Beach,Sunny Isles Beach,1686,US,163,25.93354034,-80.12097168,51,175,1,404,TRUE,TRUE
2528,steel,Carew Tower,Cincinnati,1550,US,163,39.1007309,-84.51322174,49,175,1,405,TRUE,TRUE
2517,steel,New York Marriott Marquis Hotel,New York City,1641,US,163,40.75862122,-73.98612213,56,174.9600067,1,406,TRUE,TRUE
2530,steel,Wells Fargo Center,Seattle,1680,US,163,47.60514069,-122.3339691,47,174.9600067,1,407,TRUE,TRUE
2537,steel,299 Park Avenue,New York City,1641,US,163,40.75603104,-73.97428131,42,174.9600067,1,408,TRUE,TRUE
